Step 176 (10.1 FPS): Map Position (1601.0,888.0) Lane Orientation (-1.0,-0.0) 15.15 km/h, 0% other lane, 0% off-road
Step 177 (8.8 FPS): Map Position (1598.0,888.0) Lane Orientation (-1.0,-0.0) 16.44 km/h, 0% other lane, 0% off-road
Step 178 (10.3 FPS): Map Position (1595.0,888.0) Lane Orientation (-1.0,-0.0) 17.89 km/h, 0% other lane, 0% off-road
Step 179 (9.7 FPS): Map Position (1592.0,888.0) Lane Orientation (-1.0,-0.0) 19.41 km/h, 0% other lane, 0% off-road
Step 180 (9.9 FPS): Map Position (1589.0,888.0) Lane Orientation (-1.0,-0.0) 20.69 km/h, 0% other lane, 0% off-road
Step 181 (9.0 FPS): Map Position (1585.0,888.0) Lane Orientation (-1.0,-0.0) 20.67 km/h, 0% other lane, 0% off-road
Step 182 (9.0 FPS): Map Position (1582.0,888.0) Lane Orientation (-1.0,-0.0) 19.68 km/h, 0% other lane, 0% off-road
Step 183 (9.0 FPS): Map Position (1578.0,888.0) Lane Orientation (-1.0,-0.0) 18.50 km/h, 0% other lane, 0% off-road
Step 184 (9.7 FPS): Map Position (1575.0,888.0) Lane Orientation (-1.0,-0.0) 17.94 km/h, 0% other lane, 0% off-road
Step 185 (9.3 FPS): Map Position (1572.0,888.0) Lane Orientation (-1.0,-0.0) 18.52 km/h, 0% other lane, 0% off-road
Step 186 (8.5 FPS): Map Position (1569.0,888.0) Lane Orientation (-1.0,-0.0) 19.56 km/h, 0% other lane, 0% off-road
Step 187 (9.8 FPS): Map Position (1566.0,888.0) Lane Orientation (-1.0,-0.0) 20.55 km/h, 0% other lane, 0% off-road
Step 188 (10.2 FPS): Map Position (1562.0,888.0) Lane Orientation (-1.0,-0.0) 20.32 km/h, 0% other lane, 0% off-road
Step 189 (10.8 FPS): Map Position (1559.0,888.0) Lane Orientation (-1.0,-0.0) 19.45 km/h, 0% other lane, 0% off-road
Step 190 (8.8 FPS): Map Position (1556.0,888.0) Lane Orientation (-1.0,-0.0) 19.03 km/h, 0% other lane, 0% off-road
Step 191 (10.0 FPS): Map Position (1552.0,888.0) Lane Orientation (-1.0,-0.0) 19.17 km/h, 0% other lane, 0% off-road
Step 192 (9.7 FPS): Map Position (1549.0,888.0) Lane Orientation (-1.0,-0.0) 19.91 km/h, 0% other lane, 0% off-road
Step 193 (12.7 FPS): Map Position (1546.0,888.0) Lane Orientation (-1.0,-0.0) 21.05 km/h, 0% other lane, 0% off-road
Step 194 (12.9 FPS): Map Position (1542.0,888.0) Lane Orientation (-1.0,-0.0) 21.06 km/h, 0% other lane, 0% off-road
Step 195 (13.5 FPS): Map Position (1539.0,888.0) Lane Orientation (-1.0,-0.0) 20.46 km/h, 0% other lane, 0% off-road
Step 196 (12.9 FPS): Map Position (1536.0,888.0) Lane Orientation (-1.0,-0.0) 20.03 km/h, 0% other lane, 0% off-road
Step 197 (13.2 FPS): Map Position (1534.0,888.0) Lane Orientation (-1.0,-0.0) 20.13 km/h, 0% other lane, 0% off-road
Step 198 (13.0 FPS): Map Position (1531.0,888.0) Lane Orientation (-1.0,-0.0) 20.80 km/h, 0% other lane, 0% off-road
Step 199 (13.4 FPS): Map Position (1528.0,888.0) Lane Orientation (-1.0,-0.0) 21.74 km/h, 0% other lane, 0% off-road
Step 200 (13.0 FPS): Map Position (1525.0,888.0) Lane Orientation (-1.0,-0.0) 22.78 km/h, 0% other lane, 0% off-road
Step 201 (11.0 FPS): Map Position (1521.0,888.0) Lane Orientation (-1.0,-0.0) 22.78 km/h, 0% other lane, 0% off-road
Step 202 (10.1 FPS): Map Position (1518.0,888.0) Lane Orientation (-1.0,-0.0) 22.73 km/h, 0% other lane, 0% off-road
