Step 147 (7.3 FPS): Map Position (1590.0,893.0) Lane Orientation (-1.0,-0.0) 16.02 km/h, 0% other lane, 0% off-road
Step 148 (6.0 FPS): Map Position (1588.0,893.0) Lane Orientation (-1.0,-0.0) 15.50 km/h, 0% other lane, 0% off-road
Step 149 (6.5 FPS): Map Position (1585.0,893.0) Lane Orientation (-1.0,-0.0) 14.66 km/h, 0% other lane, 0% off-road
Step 150 (8.3 FPS): Map Position (1583.0,893.0) Lane Orientation (-1.0,-0.0) 14.44 km/h, 0% other lane, 0% off-road
Step 151 (9.5 FPS): Map Position (1580.0,892.0) Lane Orientation (-1.0,-0.0) 14.35 km/h, 0% other lane, 0% off-road
Step 152 (9.0 FPS): Map Position (1578.0,892.0) Lane Orientation (-1.0,-0.0) 14.28 km/h, 0% other lane, 0% off-road
Step 153 (10.5 FPS): Map Position (1576.0,892.0) Lane Orientation (-1.0,-0.0) 13.39 km/h, 0% other lane, 0% off-road
Step 154 (8.9 FPS): Map Position (1574.0,891.0) Lane Orientation (-1.0,-0.0) 12.42 km/h, 0% other lane, 0% off-road
Step 155 (10.8 FPS): Map Position (1571.0,891.0) Lane Orientation (-1.0,-0.0) 12.43 km/h, 0% other lane, 0% off-road
Step 156 (9.2 FPS): Map Position (1569.0,891.0) Lane Orientation (-1.0,-0.0) 13.20 km/h, 0% other lane, 0% off-road
Step 157 (9.8 FPS): Map Position (1567.0,890.0) Lane Orientation (-1.0,-0.0) 14.25 km/h, 0% other lane, 0% off-road
Step 158 (9.5 FPS): Map Position (1565.0,890.0) Lane Orientation (-1.0,-0.0) 14.13 km/h, 0% other lane, 0% off-road
Step 159 (9.2 FPS): Map Position (1562.0,890.0) Lane Orientation (-1.0,-0.0) 13.29 km/h, 0% other lane, 0% off-road
Step 160 (9.7 FPS): Map Position (1560.0,889.0) Lane Orientation (-1.0,-0.0) 12.37 km/h, 0% other lane, 0% off-road
Step 161 (10.9 FPS): Map Position (1558.0,889.0) Lane Orientation (-1.0,-0.0) 12.40 km/h, 0% other lane, 0% off-road
Step 162 (10.1 FPS): Map Position (1556.0,889.0) Lane Orientation (-1.0,-0.0) 13.38 km/h, 0% other lane, 0% off-road
Step 163 (9.8 FPS): Map Position (1554.0,889.0) Lane Orientation (-1.0,-0.0) 14.51 km/h, 0% other lane, 0% off-road
Step 164 (9.5 FPS): Map Position (1551.0,888.0) Lane Orientation (-1.0,-0.0) 16.06 km/h, 0% other lane, 0% off-road
Step 165 (10.8 FPS): Map Position (1548.0,888.0) Lane Orientation (-1.0,-0.0) 17.37 km/h, 0% other lane, 0% off-road
Step 166 (9.8 FPS): Map Position (1545.0,888.0) Lane Orientation (-1.0,-0.0) 17.37 km/h, 0% other lane, 0% off-road
Step 167 (11.8 FPS): Map Position (1542.0,887.0) Lane Orientation (-1.0,-0.0) 16.47 km/h, 0% other lane, 0% off-road
Step 168 (10.8 FPS): Map Position (1540.0,887.0) Lane Orientation (-1.0,-0.0) 15.41 km/h, 0% other lane, 0% off-road
Step 169 (9.2 FPS): Map Position (1537.0,887.0) Lane Orientation (-1.0,-0.0) 15.04 km/h, 0% other lane, 0% off-road
Step 170 (9.2 FPS): Map Position (1535.0,887.0) Lane Orientation (-1.0,-0.0) 15.87 km/h, 0% other lane, 0% off-road
Step 171 (9.5 FPS): Map Position (1532.0,887.0) Lane Orientation (-1.0,-0.0) 16.76 km/h, 0% other lane, 0% off-road
Step 172 (8.6 FPS): Map Position (1529.0,886.0) Lane Orientation (-1.0,-0.0) 16.49 km/h, 0% other lane, 0% off-road
Step 173 (9.0 FPS): Map Position (1526.0,886.0) Lane Orientation (-1.0,-0.0) 15.50 km/h, 0% other lane, 0% off-road
Step 174 (10.6 FPS): Map Position (1524.0,886.0) Lane Orientation (-1.0,-0.0) 14.43 km/h, 0% other lane, 0% off-road
Step 175 (10.7 FPS): Map Position (1521.0,886.0) Lane Orientation (-1.0,-0.0) 14.10 km/h, 0% other lane, 0% off-road
Step 176 (11.4 FPS): Map Position (1519.0,886.0) Lane Orientation (-1.0,-0.0) 14.60 km/h, 0% other lane, 0% off-road
Step 177 (10.2 FPS): Map Position (1517.0,886.0) Lane Orientation (-1.0,-0.0) 14.20 km/h, 0% other lane, 0% off-road
Step 178 (10.0 FPS): Map Position (1514.0,886.0) Lane Orientation (-1.0,-0.0) 13.46 km/h, 0% other lane, 0% off-road
Step 179 (10.1 FPS): Map Position (1512.0,886.0) Lane Orientation (-1.0,-0.0) 13.53 km/h, 0% other lane, 0% off-road
Step 180 (11.4 FPS): Map Position (1510.0,886.0) Lane Orientation (-1.0,-0.0) 14.27 km/h, 0% other lane, 0% off-road
Step 181 (9.4 FPS): Map Position (1507.0,886.0) Lane Orientation (-1.0,-0.0) 15.29 km/h, 0% other lane, 0% off-road
Step 182 (10.3 FPS): Map Position (1505.0,886.0) Lane Orientation (-1.0,-0.0) 15.17 km/h, 0% other lane, 0% off-road
Step 183 (10.2 FPS): Map Position (1502.0,886.0) Lane Orientation (-1.0,-0.0) 14.27 km/h, 0% other lane, 0% off-road
Step 184 (10.7 FPS): Map Position (1500.0,886.0) Lane Orientation (-1.0,-0.0) 13.09 km/h, 0% other lane, 0% off-road
Step 185 (9.8 FPS): Map Position (1498.0,886.0) Lane Orientation (-1.0,-0.0) 12.02 km/h, 0% other lane, 0% off-road
Step 186 (10.0 FPS): Map Position (1496.0,886.0) Lane Orientation (-1.0,-0.0) 11.99 km/h, 0% other lane, 0% off-road
Step 187 (9.6 FPS): Map Position (1494.0,886.0) Lane Orientation (-1.0,-0.0) 12.96 km/h, 0% other lane, 0% off-road
Step 188 (10.8 FPS): Map Position (1491.0,885.0) Lane Orientation (-1.0,-0.0) 14.32 km/h, 0% other lane, 0% off-road
Step 189 (10.9 FPS): Map Position (1489.0,886.0) Lane Orientation (-1.0,-0.0) 15.60 km/h, 0% other lane, 0% off-road
Step 190 (10.8 FPS): Map Position (1486.0,886.0) Lane Orientation (-1.0,-0.0) 17.22 km/h, 0% other lane, 0% off-road
Step 191 (8.7 FPS): Map Position (1483.0,886.0) Lane Orientation (-1.0,-0.0) 18.58 km/h, 0% other lane, 0% off-road
Step 192 (10.7 FPS): Map Position (1480.0,886.0) Lane Orientation (-1.0,-0.0) 18.64 km/h, 0% other lane, 0% off-road
Step 193 (10.3 FPS): Map Position (1477.0,886.0) Lane Orientation (-1.0,-0.0) 17.82 km/h, 0% other lane, 0% off-road
Step 194 (9.6 FPS): Map Position (1474.0,886.0) Lane Orientation (-1.0,-0.0) 16.68 km/h, 0% other lane, 0% off-road
Step 195 (11.3 FPS): Map Position (1471.0,886.0) Lane Orientation (-1.0,-0.0) 16.38 km/h, 0% other lane, 0% off-road
Step 196 (11.3 FPS): Map Position (1468.0,886.0) Lane Orientation (-1.0,-0.0) 17.06 km/h, 0% other lane, 0% off-road
Step 197 (10.6 FPS): Map Position (1465.0,886.0) Lane Orientation (-1.0,-0.0) 17.95 km/h, 0% other lane, 0% off-road
Step 198 (10.3 FPS): Map Position (1462.0,886.0) Lane Orientation (-1.0,-0.0) 19.04 km/h, 0% other lane, 0% off-road
Step 199 (10.0 FPS): Map Position (1459.0,887.0) Lane Orientation (-1.0,-0.0) 18.93 km/h, 0% other lane, 0% off-road
Step 200 (10.2 FPS): Map Position (1456.0,887.0) Lane Orientation (-1.0,-0.0) 18.03 km/h, 0% other lane, 0% off-road
Step 201 (10.0 FPS): Map Position (1453.0,887.0) Lane Orientation (-1.0,-0.0) 16.62 km/h, 0% other lane, 0% off-road
Step 202 (11.5 FPS): Map Position (1450.0,887.0) Lane Orientation (-1.0,-0.0) 15.27 km/h, 0% other lane, 0% off-road
